"tuition","highdeg","sat","type","admission","loan"
14866,"Bachelor's degree",895,"Private nonprofit",80.65,75
29959,"Graduate degree",964,"Private nonprofit",57.6,88.32
31500,"Bachelor's degree",1006,"Private nonprofit",62.55,81.54
41110,"Graduate degree",1234,"Private nonprofit",43.79,50.74
45622,"Graduate degree",1375,"Private nonprofit",32.22,41.31
44880,"Graduate degree",1279,"Private nonprofit",45.61,42.35
45856,"Graduate degree",1347,"Private nonprofit",37.04,50.92
14193,"Graduate degree",991,"Public",78.6,52.98
34715,"Graduate degree",931,"Private nonprofit",66.92,62.74
33230,"Bachelor's degree",845,"Private nonprofit",68.35,64.9
27922,"Graduate degree",954,"Private nonprofit",55.79,44.75
35730,"Graduate degree",1240,"Private nonprofit",47.98,56.78
34670,"Graduate degree",1090,"Private nonprofit",60.49,67.53
28926,"Graduate degree",1070,"Private nonprofit",71.65,63.92
27575,"Bachelor's degree",825,"Private nonprofit",62.73,65.64
15065,"Graduate degree",987,"Public",72.11,68.87
14160,"Graduate degree",1040,"Public",51.67,66.81
33230,"Graduate degree",1156,"Private nonprofit",41.33,72.29
42292,"Graduate degree",1501,"Private nonprofit",5.84,2.9
30000,"Graduate degree",974,"Private nonprofit",76.14,86.89
32375,"Graduate degree",1065,"Private nonprofit",67.49,63.56
26146,"Graduate degree",1132,"Public",63.97,59.7
28159,"Graduate degree",1209,"Public",62.94,60.43
27430,"Graduate degree",1015,"Public",71.41,56.42
28470,"Graduate degree",1094,"Private nonprofit",89.21,78.3
28600,"Graduate degree",1081,"Public",69.82,55.35
43498,"Graduate degree",1503,"Private nonprofit",8.15,19.92
22033,"Graduate degree",1051,"Public",77.26,74.62
29377,"Graduate degree",880,"Private nonprofit",60.65,77.41
28950,"Bachelor's degree",850,"Private nonprofit",59.53,77.3
32370,"Graduate degree",940,"Private nonprofit",80.47,87.6
17470,"Graduate degree",1032,"Public",67.2,84.56
41686,"Graduate degree",1394,"Private nonprofit",32.31,44.33
30132,"Graduate degree",928,"Private nonprofit",74.92,72.87
24930,"Graduate degree",760,"Private nonprofit",64.11,70.98
34380,"Graduate degree",954,"Private nonprofit",72.43,72.15
14270,"Graduate degree",986,"Public",69.29,58.98
35380,"Graduate degree",1149,"Private nonprofit",48.97,73.05
32560,"Graduate degree",1029,"Private nonprofit",69.92,89.85
24156,"Graduate degree",1061,"Public",72.13,71.7
36160,"Bachelor's degree",1133,"Private nonprofit",70.91,68.56
31716,"Graduate degree",1014,"Private nonprofit",82.5,59.83
46598,"Graduate degree",1428,"Private nonprofit",18.84,30.1
43554,"Bachelor's degree",1399,"Private nonprofit",29.11,25.34
29200,"Graduate degree",1109,"Private nonprofit",57.61,72.2
33020,"Graduate degree",1077,"Private nonprofit",81.51,74.8
14774,"Graduate degree",995,"Public",74.87,61.21
31880,"Graduate degree",996,"Private nonprofit",73.18,79.18
46600,"Graduate degree",1439,"Private nonprofit",17.02,24.78
14237,"Graduate degree",1016,"Public",60.62,54.27
30758,"Bachelor's degree",1007,"Private nonprofit",56.28,80.15
36051,"Bachelor's degree",1143,"Private nonprofit",56.39,61.72
32660,"Bachelor's degree",1100,"Private nonprofit",67.91,91.51
25470,"Graduate degree",1070,"Private nonprofit",37.51,55.54
26460,"Graduate degree",1090,"Private nonprofit",71.35,69.93
28250,"Graduate degree",1183,"Private nonprofit",69.75,55.45
23670,"Graduate degree",1029,"Public",63.04,74.69
18720,"Graduate degree",976,"Private nonprofit",72.63,68.28
23563,"Graduate degree",1010,"Private nonprofit",53.74,87.72
35710,"Graduate degree",1010,"Private nonprofit",48.6,69.99
35920,"Graduate degree",1142,"Private nonprofit",61.47,61.61
24909,"Graduate degree",1011,"Public",63.98,75.28
16722,"Graduate degree",1010,"Public",75.9,66.78
35600,"Graduate degree",1198,"Private nonprofit",61.59,59.05
24168,"Graduate degree",1084,"Private nonprofit",68.07,75.96
15388,"Graduate degree",1090,"Public",82.6,64.2
28720,"Bachelor's degree",1204,"Private nonprofit",72.53,57.04
39450,"Bachelor's degree",1240,"Private nonprofit",66.89,51.49
14880,"Graduate degree",1050,"Public",91.83,59.91
28948,"Graduate degree",1145,"Private nonprofit",43.65,33.02
16340,"Graduate degree",1034,"Private nonprofit",61.25,58.3
19850,"Graduate degree",780,"Private nonprofit",93.78,87.21
19920,"Graduate degree",990,"Private nonprofit",65.67,64.86
40392,"Graduate degree",1352,"Public",33.26,36.65
33750,"Graduate degree",1158,"Public",68.65,48.45
28608,"Graduate degree",1206,"Public",76.59,59.69
23124,"Graduate degree",1125,"Public",62.84,67.04
18238,"Graduate degree",993,"Public",78.09,74.83
14113,"Graduate degree",1030,"Public",73.13,64.08
22130,"Graduate degree",1029,"Private nonprofit",65.38,69.51
23873,"Graduate degree",1070,"Public",66,36.89
23021,"Graduate degree",927,"Private nonprofit",51.48,80.11
18454,"Graduate degree",1008,"Private nonprofit",68.42,75.95
19776,"Graduate degree",990,"Public",78.65,69.85
21890,"Graduate degree",990,"Private nonprofit",67.65,68.17
23400,"Graduate degree",1069,"Private nonprofit",65.05,74
20480,"Bachelor's degree",930,"Private nonprofit",58.83,83.01
23714,"Graduate degree",1050,"Public",76.24,59.44
24109,"Graduate degree",1030,"Public",82.85,68
33209,"Graduate degree",1053,"Private nonprofit",60.86,71.15
8124,"Graduate degree",990,"Public",66.78,59.4
24080,"Bachelor's degree",1070,"Private nonprofit",74.58,75.75
31760,"Graduate degree",1144,"Private nonprofit",94.85,67.46
46167,"Bachelor's degree",1406,"Private nonprofit",20.95,47.49
32814,"Graduate degree",1144,"Private nonprofit",79.98,68
19700,"Graduate degree",991,"Private nonprofit",52.39,62.49
12300,"Graduate degree",1125,"Private nonprofit",96.17,68.73
39120,"Bachelor's degree",1224,"Private nonprofit",63.22,68.84
35108,"Graduate degree",1106,"Private nonprofit",65.57,74.32
45388,"Bachelor's degree",1350,"Private nonprofit",34.16,48.84
15036,"Graduate degree",1030,"Public",65.55,59
19805,"Graduate degree",1270,"Public",44.42,45.16
11448,"Bachelor's degree",1004,"Public",69.16,39.76
32750,"Graduate degree",1073,"Private nonprofit",58.95,87.81
16480,"Graduate degree",1109,"Public",78.22,58.82
12584,"Bachelor's degree",1168,"Public",57.64,50.37
14714,"Graduate degree",1049,"Public",89.11,63.01
19996,"Bachelor's degree",1044,"Private nonprofit",95.21,78.07
28020,"Graduate degree",1126,"Private nonprofit",69.15,50.87
15300,"Bachelor's degree",930,"Private nonprofit",58.73,67.13
37926,"Bachelor's degree",1157,"Private nonprofit",75.54,64.78
15156,"Graduate degree",1010,"Public",86.91,50.95
37162,"Graduate degree",1155,"Private nonprofit",75.16,60.95
29315,"Graduate degree",1068,"Private nonprofit",74.85,62.97
40700,"Bachelor's degree",1290,"Private nonprofit",59.19,52.55
22430,"Graduate degree",983,"Private nonprofit",55,70.22
31612,"Graduate degree",1085,"Private nonprofit",72.65,68.9
35308,"Graduate degree",1165,"Private nonprofit",86.17,57.38
34744,"Graduate degree",1051,"Private nonprofit",60.89,76.82
8074,"Graduate degree",1010,"Public",65.46,26.39
14230,"Graduate degree",1070,"Public",60.75,64.31
6108,"Graduate degree",851,"Public",82.91,88.72
19970,"Graduate degree",1033,"Private nonprofit",48.42,72.19
9470,"Graduate degree",1007,"Private nonprofit",55.73,56.97
6562,"Graduate degree",950,"Public",89.41,56.28
15552,"Graduate degree",910,"Public",64.64,76.33
32520,"Graduate degree",1159,"Private nonprofit",47.45,53.62
17728,"Graduate degree",1100,"Public",59.36,46.25
15360,"Graduate degree",995,"Public",43.49,62.37
5916,"Graduate degree",825,"Public",22.72,77.21
14868,"Graduate degree",1098,"Private nonprofit",67.3,59.83
16960,"Graduate degree",1106,"Public",64.82,50.46
5028,"Associate degree",970,"Public",85.66,22.69
8900,"Bachelor's degree",666,"Private nonprofit",13.86,89.83
15024,"Graduate degree",1082,"Public",66.31,69.34
10227,"Bachelor's degree",864,"Private nonprofit",35.51,81.79
10800,"Graduate degree",1105,"Private nonprofit",48.77,79.97
24950,"Graduate degree",1028,"Private nonprofit",61.08,72.91
10376,"Graduate degree",863,"Private nonprofit",89.75,79.12
10816,"Graduate degree",1033,"Private nonprofit",86.96,42.8
21320,"Bachelor's degree",1006,"Private nonprofit",65.06,74.42
13659,"Graduate degree",990,"Public",80.83,62.99
18436,"Bachelor's degree",1165,"Private nonprofit",95.24,30
18800,"Bachelor's degree",1021,"Private nonprofit",70.63,67.47
23300,"Bachelor's degree",972,"Private nonprofit",59.26,79.06
22295,"Graduate degree",1146,"Private nonprofit",80.95,54.07
20040,"Graduate degree",1046,"Private nonprofit",64.25,92.71
22684,"Graduate degree",1070,"Private nonprofit",65.24,69.67
18770,"Graduate degree",1029,"Private nonprofit",68.14,56.61
33712,"Bachelor's degree",1073,"Private nonprofit",64.3,68.25
15150,"Graduate degree",1045,"Private nonprofit",66.29,64.77
25002,"Graduate degree",1142,"Private nonprofit",76.11,68.02
6320,"Graduate degree",1021,"Private nonprofit",67.74,43.78
21790,"Graduate degree",1001,"Private nonprofit",60.95,34.99
10225,"Graduate degree",990,"Public",97.28,67.86
18300,"Graduate degree",920,"Private nonprofit",22.18,64.79
23764,"Graduate degree",1165,"Public",78.61,48.64
22203,"Graduate degree",1105,"Public",33,48.68
24675,"Graduate degree",1263,"Public",82.15,54.01
24429,"Graduate degree",1090,"Public",74.19,42.79
13240,"Graduate degree",1243,"Public",72.19,43.7
11391,"Graduate degree",1050,"Public",72.41,59.49
18330,"Bachelor's degree",1050,"Private nonprofit",13.01,0
31290,"Graduate degree",1164,"Private nonprofit",75.43,59.54
36726,"Graduate degree",1237,"Private nonprofit",64.43,34.8
8215,"Bachelor's degree",970,"Private nonprofit",98.86,74.39
20040,"Graduate degree",1062,"Private nonprofit",90.22,58.13
27954,"Graduate degree",1047,"Private nonprofit",67.56,85.29
12195,"Graduate degree",1049,"Public",85.46,51.27
13388,"Graduate degree",1090,"Public",85.1,50.83
44841,"Graduate degree",1474,"Private nonprofit",15.55,22.07
23760,"Graduate degree",1107,"Private nonprofit",58.06,65.36
21680,"Bachelor's degree",1090,"Private nonprofit",71.9,75.96
31000,"Bachelor's degree",1146,"Private nonprofit",57.78,65.59
20650,"Graduate degree",1047,"Private nonprofit",75.14,62.07
27914,"Bachelor's degree",1112,"Private nonprofit",53,55.98
18606,"Graduate degree",1115,"Public",88.91,49.62
20717,"Graduate degree",1115,"Public",84.49,49.13
21719,"Graduate degree",1090,"Public",94.23,56.02
17312,"Graduate degree",925,"Public",100,61.87
23718,"Graduate degree",1024,"Private nonprofit",66.83,71.1
12880,"Graduate degree",1110,"Private nonprofit",60.56,75.65
12711,"Graduate degree",1070,"Private nonprofit",71.67,70.82
24750,"Graduate degree",1091,"Private nonprofit",71.52,53.95
34330,"Graduate degree",1214,"Private nonprofit",76.65,70.41
26180,"Bachelor's degree",1077,"Private nonprofit",71.73,84.25
18256,"Graduate degree",995,"Private nonprofit",58.46,65.5
25520,"Graduate degree",1083,"Private nonprofit",73.64,69.12
12370,"Graduate degree",1049,"Public",84.86,50.02
13302,"Graduate degree",1070,"Private nonprofit",33.33,78.6
27146,"Graduate degree",970,"Private nonprofit",68.32,80.4
16890,"Graduate degree",1070,"Public",70.78,46.83
27242,"Graduate degree",1109,"Private nonprofit",76.89,66.26
21388,"Graduate degree",1147,"Public",64.04,40.22
26934,"Graduate degree",1070,"Private nonprofit",57.01,73.66
20470,"Graduate degree",1050,"Private nonprofit",52.29,71.61
15600,"Bachelor's degree",924,"Private nonprofit",48.9,75
20600,"Graduate degree",1003,"Public",85.12,36.87
20520,"Graduate degree",1081,"Public",83.96,38.53
46752,"Graduate degree",1446,"Private nonprofit",9.78,24.54
31000,"Graduate degree",975,"Private nonprofit",84.72,66.9
28884,"Graduate degree",965,"Private nonprofit",78.66,69.31
29216,"Graduate degree",1100,"Public",77.84,67.6
20161,"Graduate degree",975,"Public",81.85,73.16
26482,"Bachelor's degree",1020,"Public",73.06,51.14
20030,"Graduate degree",965,"Public",77.48,75.2
28055,"Graduate degree",932,"Private nonprofit",89.28,62.09
35204,"Bachelor's degree",1145,"Private nonprofit",73.65,74.05
25880,"Graduate degree",835,"Private nonprofit",54.64,82.11
29000,"Graduate degree",949,"Private nonprofit",64.08,83.6
30540,"Graduate degree",956,"Private nonprofit",90.94,58.17
44068,"Graduate degree",1109,"Private nonprofit",77.43,60.39
34882,"Graduate degree",985,"Private nonprofit",73.41,36.68
29990,"Graduate degree",877,"Private nonprofit",88.19,69.41
37348,"Graduate degree",1020,"Private nonprofit",77.74,69.27
29606,"Graduate degree",900,"Private nonprofit",77.9,67.88
20186,"Graduate degree",1120,"Public",59.23,58.36
19065,"Graduate degree",917,"Public",41.29,56.4
17141,"Graduate degree",905,"Public",80.37,61.33
31018,"Graduate degree",1063,"Private nonprofit",77.91,67.16
20196,"Graduate degree",970,"Public",65.32,60.66
20479,"Certificate degree",950,"Private nonprofit",77.78,67.7
28274,"Graduate degree",1142,"Public",65.47,46.98
40170,"Graduate degree",1495,"Private nonprofit",7.41,4.82
22038,"Graduate degree",1096,"Public",55.26,60.63
35270,"Graduate degree",1038,"Private nonprofit",71.87,65.6
26908,"Graduate degree",1035,"Public",58.59,68.78
27523,"Graduate degree",1210,"Public",59.51,55.91
27022,"Graduate degree",1059,"Public",54.01,55.01
32284,"Graduate degree",913,"Private nonprofit",54.08,63.53
35820,"Graduate degree",1121,"Private nonprofit",79.16,57.85
31095,"Graduate degree",855,"Private nonprofit",48.36,48.66
44490,"Graduate degree",1305,"Private nonprofit",38.16,65.89
18715,"Graduate degree",1068,"Public",62.11,66.7
25135,"Graduate degree",1235,"Public",43.11,51.93
19458,"Graduate degree",1010,"Public",68.11,66.29
10069,"Graduate degree",932,"Public",63.21,38.51
9010,"Associate degree",967,"Public",41.86,22.24
17073,"Graduate degree",1200,"Public",41.36,34.95
20688,"Graduate degree",1038,"Public",64.58,38.77
19644,"Graduate degree",982,"Public",85.2,44.38
20450,"Graduate degree",989,"Private nonprofit",77.06,69.26
30800,"Graduate degree",1098,"Private nonprofit",68.14,60.59
28900,"Graduate degree",1195,"Private nonprofit",63.4,81.4
25430,"Graduate degree",1106,"Private nonprofit",69.8,77.83
44790,"Bachelor's degree",1340,"Private nonprofit",20.53,31.83
33332,"Graduate degree",1101,"Private nonprofit",72.51,63.11
40540,"Graduate degree",1187,"Private nonprofit",64.03,77.73
46380,"Graduate degree",1370,"Private nonprofit",26.38,26.98
49138,"Graduate degree",1471,"Private nonprofit",7.42,26.59
28095,"Graduate degree",912,"Private nonprofit",67.01,68.55
41400,"Graduate degree",1358,"Private nonprofit",7.74,19.18
45358,"Graduate degree",1422,"Private nonprofit",15.56,31.54
12720,"Graduate degree",1225,"Public",24.83,14.2
12694,"Graduate degree",1100,"Public",31.98,18.93
12668,"Graduate degree",1000,"Public",99.75,18.8
12599,"Graduate degree",1110,"Public",34.1,19.14
12639,"Graduate degree",1160,"Public",29.72,16.06
12569,"Graduate degree",950,"Public",34.05,16.71
12618,"Graduate degree",1020,"Public",23.28,23.83
12542,"Bachelor's degree",838,"Public",91.41,18.91
12579,"Bachelor's degree",937,"Public",76.8,13.1
12717,"Graduate degree",1100,"Public",37.02,13.19
12606,"Graduate degree",905,"Public",35.1,10.87
22850,"Graduate degree",1047,"Private nonprofit",79.08,74.75
24790,"Graduate degree",899,"Private nonprofit",71.89,87.9
38150,"Graduate degree",1060,"Private nonprofit",79.78,77.92
43902,"Graduate degree",1258,"Private nonprofit",47.13,54.67
46080,"Bachelor's degree",1384,"Private nonprofit",27.19,34.45
38930,"Bachelor's degree",1126,"Private nonprofit",84.24,68.87
37400,"Graduate degree",1165,"Private nonprofit",58.71,55.65
27728,"Graduate degree",1113,"Private nonprofit",91.08,67.83
32770,"Graduate degree",1009,"Private nonprofit",92.12,57.97
18460,"Graduate degree",1331,"Private nonprofit",55.05,37.21
30460,"Graduate degree",1080,"Private nonprofit",61.9,69.7
34120,"Graduate degree",921,"Private nonprofit",86.9,71.97
34070,"Graduate degree",974,"Private nonprofit",80.67,30.43
35725,"Graduate degree",1090,"Private nonprofit",66.17,63.61
35370,"Graduate degree",1075,"Private nonprofit",76.74,63.77
11130,"Bachelor's degree",874,"Private nonprofit",16.03,75.3
26640,"Bachelor's degree",1053,"Private nonprofit",74.63,66.87
23812,"Graduate degree",865,"Private nonprofit",54.29,84.54
25710,"Graduate degree",1054,"Private nonprofit",72.67,79.41
26250,"Graduate degree",1006,"Private nonprofit",86,72.13
30290,"Graduate degree",919,"Private nonprofit",73.1,90.77
31260,"Graduate degree",986,"Private nonprofit",56.95,65.25
40426,"Graduate degree",1131,"Private nonprofit",66.59,41.27
44848,"Graduate degree",1352,"Private nonprofit",26.05,41.31
28200,"Graduate degree",1038,"Private nonprofit",66.33,64.4
30780,"Graduate degree",1039,"Private nonprofit",74.07,54.07
26540,"Graduate degree",970,"Private nonprofit",46.75,28.74
23250,"Graduate degree",915,"Private nonprofit",96.71,84.71
38069,"Graduate degree",1043,"Private nonprofit",76.83,58.18
25261,"Bachelor's degree",986,"Private nonprofit",74.74,81.97
41328,"Graduate degree",1303,"Private nonprofit",75.23,57.46
12640,"Bachelor's degree",928,"Private nonprofit",58.59,44.29
43126,"Graduate degree",1140,"Private nonprofit",55.72,48.08
46269,"Graduate degree",1366,"Private nonprofit",41.2,58.66
27364,"Graduate degree",1046,"Private nonprofit",72.6,80.74
34424,"Graduate degree",1232,"Private nonprofit",60.16,68.48
45372,"Graduate degree",1353,"Private nonprofit",35.68,52.53
29589,"Graduate degree",1075,"Private nonprofit",79.99,70.44
20700,"Graduate degree",940,"Private nonprofit",64.33,50.35
19020,"Associate degree",1015,"Private nonprofit",41.21,98.66
26340,"Graduate degree",931,"Private nonprofit",82.24,47.61
31368,"Graduate degree",1122,"Private nonprofit",68.05,70.79
45874,"Graduate degree",1247,"Private nonprofit",35.05,32.11
21878,"Graduate degree",1054,"Private nonprofit",75.38,53.91
28430,"Graduate degree",1095,"Private nonprofit",62.77,79.73
37260,"Graduate degree",1093,"Private nonprofit",53.16,56.84
13954,"Bachelor's degree",1090,"Public",54.94,73.87
16599,"Bachelor's degree",975,"Public",73.09,69.5
16575,"Bachelor's degree",969,"Public",52.64,31.93
16862,"Bachelor's degree",930,"Public",58.98,75.02
18360,"Graduate degree",1102,"Public",55.45,60.69
18464,"Graduate degree",1297,"Public",42.87,48.36
20151,"Graduate degree",1158,"Public",56.52,46.77
19935,"Graduate degree",1253,"Public",39.48,45.63
16483,"Graduate degree",1155,"Public",50.52,57.57
16540,"Graduate degree",1053,"Public",47.54,54.46
16672,"Graduate degree",1069,"Public",47.74,70.85
16382,"Graduate degree",975,"Public",48.53,64.66
16777,"Graduate degree",1058,"Public",46.83,68.61
16850,"Graduate degree",1056,"Public",51.54,70.5
16880,"Graduate degree",1274,"Public",45.66,49.18
16533,"Graduate degree",1129,"Public",43.59,53.66
16680,"Graduate degree",1097,"Public",50.73,62.55
16631,"Graduate degree",1110,"Public",48.63,70.4
17023,"Graduate degree",1082,"Public",33.19,59.96
15874,"Graduate degree",998,"Public",58.04,47.17
16629,"Graduate degree",1026,"Public",45.64,65.93
16559,"Graduate degree",1056,"Public",63.96,54.34
40458,"Graduate degree",1158,"Private nonprofit",49.49,56.99
46785,"Bachelor's degree",1313,"Private nonprofit",37.28,57.21
33320,"Graduate degree",946,"Private nonprofit",85.42,72.14
47890,"Bachelor's degree",1394,"Private nonprofit",24.11,37.16
39220,"Graduate degree",1154,"Private nonprofit",69.88,63.18
42750,"Bachelor's degree",1435,"Private nonprofit",29.52,16.46
35900,"Bachelor's degree",1075,"Private nonprofit",59.67,82.33
37600,"Graduate degree",1217,"Private nonprofit",82.16,26.56
18670,"Graduate degree",1156,"Public",63.23,45.96
25396,"Graduate degree",939,"Private nonprofit",41.77,78.1
18500,"Bachelor's degree",977,"Private nonprofit",67.59,79.66
25200,"Bachelor's degree",950,"Private nonprofit",44.89,68.72
11330,"Bachelor's degree",998,"Private nonprofit",31.07,69.26
26240,"Graduate degree",1030,"Private nonprofit",69.83,73.5
26820,"Graduate degree",985,"Private nonprofit",40.58,67.8
22510,"Graduate degree",777,"Private nonprofit",61.54,84.86
42849,"Bachelor's degree",1353,"Private nonprofit",25.61,21.34
45376,"Graduate degree",1444,"Private nonprofit",13.42,37.1
20256,"Graduate degree",1050,"Public",62.17,55.28
15286,"Graduate degree",849,"Public",57.15,76.52
30149,"Graduate degree",1200,"Private nonprofit",53.98,33.75
15401,"Graduate degree",851,"Public",54.96,71.36
25830,"Graduate degree",1018,"Private nonprofit",48.17,40.12
26306,"Graduate degree",891,"Private nonprofit",78.31,76.19
32470,"Bachelor's degree",1067,"Private nonprofit",68.18,66.49
30715,"Graduate degree",1087,"Private nonprofit",64.18,48.91
18236,"Bachelor's degree",826,"Private nonprofit",36.68,83.4
29310,"Graduate degree",976,"Private nonprofit",68.06,69.17
16024,"Bachelor's degree",723,"Private nonprofit",71.22,93.34
15540,"Associate degree",755,"Private nonprofit",41.51,86.81
25636,"Graduate degree",941,"Private nonprofit",64.47,89.05
30562,"Graduate degree",1040,"Private nonprofit",62.32,68.71
27830,"Graduate degree",961,"Private nonprofit",61.22,57.39
23520,"Graduate degree",950,"Private nonprofit",54.29,67.33
17300,"Bachelor's degree",915,"Private nonprofit",49.79,70.01
16503,"Graduate degree",902,"Public",69.64,77.88
20063,"Graduate degree",1190,"Public",64.03,46.33
30122,"Graduate degree",1313,"Public",27.59,31.92
18636,"Graduate degree",1066,"Public",68.52,58.79
20180,"Graduate degree",1029,"Public",60.02,58.72
16099,"Graduate degree",859,"Public",50.33,81.26
21416,"Graduate degree",1105,"Public",45.21,57.11
21661,"Graduate degree",1229,"Public",50.01,42.4
26632,"Bachelor's degree",863,"Private nonprofit",46.76,84.49
18480,"Graduate degree",1154,"Public",54.19,51.09
23900,"Bachelor's degree",910,"Private nonprofit",90.86,88.51
14351,"Graduate degree",926,"Public",72.04,67.04
24150,"Graduate degree",954,"Private nonprofit",96.09,84.5
12455,"Graduate degree",878,"Private nonprofit",48.84,48.73
29800,"Graduate degree",1058,"Private nonprofit",76.86,62.39
12160,"Bachelor's degree",853,"Private nonprofit",41.07,87.33
17890,"Bachelor's degree",749,"Private nonprofit",67.38,85.94
24566,"Graduate degree",1110,"Private nonprofit",58.2,79.15
23332,"Bachelor's degree",964,"Private nonprofit",64.48,73.19
7016,"Graduate degree",1047,"Private nonprofit",67.21,0
29540,"Graduate degree",1136,"Private nonprofit",69.6,58.8
25040,"Graduate degree",1013,"Private nonprofit",79.3,74.68
14281,"Graduate degree",889,"Public",55.65,72.49
15862,"Graduate degree",1034,"Public",37.66,57.98
8198,"Bachelor's degree",965,"Public",48.68,42.73
18494,"Graduate degree",1038,"Private nonprofit",56.89,65.54
14730,"Graduate degree",1046,"Private nonprofit",83.07,58.82
6086,"Graduate degree",1004,"Public",56.62,39.51
17794,"Graduate degree",1090,"Public",73.7,53.82
18242,"Graduate degree",1091,"Public",84.1,56.29
14596,"Graduate degree",967,"Public",82.9,47.61
18418,"Graduate degree",1016,"Public",96.49,62.38
24330,"Graduate degree",1009,"Private nonprofit",25.48,78.13
29836,"Graduate degree",1043,"Private nonprofit",74.38,58.86
17336,"Associate degree",1070,"Private nonprofit",100,76.97
27840,"Graduate degree",1096,"Private nonprofit",63.96,78.76
28504,"Graduate degree",1027,"Private nonprofit",53.08,79.11
18034,"Graduate degree",1009,"Public",72.47,68.73
31990,"Graduate degree",1102,"Private nonprofit",76.04,80.18
41800,"Graduate degree",1377,"Private nonprofit",41.88,48.15
26420,"Graduate degree",1195,"Private nonprofit",74.01,52.78
13510,"Graduate degree",825,"Public",33.28,82.94
18883,"Associate degree",1011,"Private nonprofit",52.5,80.81
15266,"Graduate degree",989,"Private nonprofit",63.98,73.86
25816,"Graduate degree",1141,"Public",73.25,55.45
17720,"Graduate degree",939,"Private nonprofit",97.11,71.38
36509,"Bachelor's degree",1060,"Private nonprofit",68.25,78.24
12678,"Graduate degree",1030,"Public",62.87,63.16
30390,"Graduate degree",1035,"Private nonprofit",85.51,71.23
35800,"Graduate degree",1181,"Private nonprofit",52.97,67.91
28690,"Graduate degree",964,"Private nonprofit",71.6,82.33
43910,"Bachelor's degree",1285,"Private nonprofit",45.97,52.24
29798,"Graduate degree",1083,"Private nonprofit",68.32,49.15
18825,"Associate degree",970,"Private nonprofit",72.22,80.6
30290,"Graduate degree",1030,"Private nonprofit",57.36,73.78
34480,"Graduate degree",1112,"Private nonprofit",83.34,66.94
17776,"Graduate degree",1048,"Public",83.02,63.39
45640,"Bachelor's degree",1328,"Private nonprofit",38.38,51.95
10032,"Graduate degree",1002,"Private nonprofit",85.14,70
27368,"Graduate degree",983,"Private nonprofit",55.61,76.04
25678,"Graduate degree",1046,"Private nonprofit",71.79,72.11
31940,"Graduate degree",1105,"Private nonprofit",63.87,71.22
29590,"Graduate degree",1240,"Public",66.76,41.62
11675,"Graduate degree",1030,"Private nonprofit",54.21,67.04
27380,"Graduate degree",1050,"Private nonprofit",71.2,81.61
23690,"Graduate degree",1071,"Private nonprofit",63.49,75.68
25800,"Graduate degree",989,"Private nonprofit",87.55,65.43
23662,"Graduate degree",983,"Private nonprofit",75.96,81.13
26344,"Graduate degree",943,"Private nonprofit",90.24,75.26
46870,"Graduate degree",1354,"Private nonprofit",30.41,37.17
28932,"Graduate degree",1028,"Private nonprofit",49.4,59.94
36720,"Graduate degree",1153,"Private nonprofit",67.85,72.84
25757,"Graduate degree",1289,"Public",55.53,45.87
19410,"Graduate degree",1104,"Public",72.95,51.8
7120,"Certificate degree",970,"Private nonprofit",100,80.85
40510,"Bachelor's degree",1123,"Private nonprofit",75.33,59.26
31424,"Graduate degree",1087,"Private nonprofit",73.74,69.96
23160,"Graduate degree",1163,"Private nonprofit",76.07,76.49
20700,"Graduate degree",969,"Private nonprofit",38.56,75.77
18395,"Graduate degree",1031,"Public",90.73,59.21
26720,"Graduate degree",1018,"Private nonprofit",57.82,77.25
25840,"Graduate degree",1047,"Private nonprofit",77.13,83.73
28190,"Graduate degree",1006,"Private nonprofit",46.03,78.22
38030,"Bachelor's degree",1119,"Private nonprofit",89.32,67.68
41680,"Bachelor's degree",1231,"Private nonprofit",56.33,51.44
33000,"Graduate degree",1132,"Private nonprofit",69.97,58.02
14050,"Bachelor's degree",836,"Private nonprofit",71.82,90.01
22252,"Graduate degree",981,"Private nonprofit",49.34,81.23
13551,"Graduate degree",1030,"Public",83.98,41.62
12643,"Graduate degree",969,"Public",98.14,45.32
11600,"Graduate degree",899,"Private nonprofit",43.31,61.69
12012,"Graduate degree",970,"Public",73.37,52.01
11764,"Graduate degree",930,"Public",59.8,43.01
18800,"Graduate degree",1124,"Private nonprofit",63.21,51.96
6739,"Bachelor's degree",890,"Public",47.67,51.61
20027,"Graduate degree",1138,"Public",76.02,43.71
21842,"Graduate degree",1098,"Private nonprofit",56.46,50.45
29426,"Graduate degree",1163,"Private nonprofit",71.98,48.77
21105,"Graduate degree",1176,"Public",80.44,38.06
22508,"Graduate degree",1037,"Private nonprofit",43.54,67.33
12005,"Bachelor's degree",950,"Public",54.45,46.82
11298,"Bachelor's degree",990,"Public",62.46,47.61
13440,"Graduate degree",950,"Public",79.92,45.46
14220,"Graduate degree",963,"Private nonprofit",88.4,78.56
11820,"Graduate degree",990,"Public",90.26,64.84
34835,"Graduate degree",1279,"Private nonprofit",40.59,31.77
27492,"Graduate degree",993,"Private nonprofit",55.92,74
16755,"Graduate degree",935,"Public",67,59.92
31120,"Graduate degree",1070,"Private nonprofit",75.28,67.22
41928,"Graduate degree",1279,"Private nonprofit",62.85,65.99
36310,"Bachelor's degree",1090,"Private nonprofit",92.19,63.92
